attack_type,syscall_id,frequency
Adduser,168,11481
Adduser,265,6591
Adduser,3,5279
Adduser,162,3257
Adduser,54,2961
Adduser,142,1530
Adduser,240,1121
Adduser,146,1047
Adduser,78,1011
Adduser,102,953
Adduser,309,860
Adduser,114,855
Adduser,4,807
Adduser,175,598
Adduser,256,574
Adduser,43,502
Adduser,104,358
Adduser,5,316
Adduser,174,270
Adduser,192,205
Adduser,6,191
Adduser,119,158
Adduser,221,133
Adduser,91,116
Adduser,219,103
Adduser,197,98
Adduser,13,92
Adduser,19,84
Adduser,33,76
Adduser,125,63
Adduser,340,55
Adduser,195,41
Adduser,140,27
Adduser,45,21
Adduser,122,9
Adduser,39,8
Adduser,11,7
Adduser,57,7
Adduser,191,7
Adduser,243,7
Adduser,258,7
Adduser,268,7
Adduser,311,7
Adduser,324,7
Adduser,220,6
Adduser,118,5
Adduser,141,5
Adduser,196,4
Adduser,292,3
Adduser,38,2
Adduser,194,1
Hydra_FTP,168,9463
Hydra_FTP,265,6370
Hydra_FTP,3,5399
Hydra_FTP,78,4816
Hydra_FTP,142,3371
Hydra_FTP,102,3235
Hydra_FTP,13,2221
Hydra_FTP,5,1867
Hydra_FTP,6,1505
Hydra_FTP,240,1344
Hydra_FTP,4,1235
Hydra_FTP,192,1104
Hydra_FTP,195,970
Hydra_FTP,146,866
Hydra_FTP,309,653
Hydra_FTP,91,614
Hydra_FTP,85,597
Hydra_FTP,125,572
Hydra_FTP,27,556
Hydra_FTP,197,552
Hydra_FTP,43,540
Hydra_FTP,174,405
Hydra_FTP,33,316
Hydra_FTP,196,308
Hydra_FTP,175,263
Hydra_FTP,104,261
Hydra_FTP,221,232
Hydra_FTP,10,206
Hydra_FTP,7,117
Hydra_FTP,140,111
Hydra_FTP,162,100
Hydra_FTP,120,73
Hydra_FTP,45,63
Hydra_FTP,340,56
Hydra_FTP,199,46
Hydra_FTP,268,38
Hydra_FTP,54,36
Hydra_FTP,201,32
Hydra_FTP,63,24
Hydra_FTP,114,22
Hydra_FTP,119,22
Hydra_FTP,122,22
Hydra_FTP,258,18
Hydra_FTP,311,16
Hydra_FTP,307,12
Hydra_FTP,191,11
Hydra_FTP,172,10
Hydra_FTP,57,9
Hydra_FTP,11,8
Hydra_FTP,220,8
Hydra_FTP,243,8
Hydra_FTP,60,6
Hydra_FTP,65,5
Hydra_FTP,66,5
Hydra_FTP,19,2
Hydra_FTP,20,2
Hydra_FTP,42,2
Hydra_FTP,141,2
Hydra_FTP,200,2
Hydra_FTP,202,2
Hydra_FTP,37,1
Hydra_FTP,64,1
Hydra_SSH,265,17747
Hydra_SSH,168,12921
Hydra_SSH,3,9968
Hydra_SSH,13,3779
Hydra_SSH,78,3408
Hydra_SSH,240,3224
Hydra_SSH,4,2712
Hydra_SSH,43,2677
Hydra_SSH,142,2163
Hydra_SSH,5,1780
Hydra_SSH,102,1502
Hydra_SSH,6,1387
Hydra_SSH,192,1293
Hydra_SSH,146,978
Hydra_SSH,197,777
Hydra_SSH,91,733
Hydra_SSH,125,615
Hydra_SSH,104,551
Hydra_SSH,174,520
Hydra_SSH,33,462
Hydra_SSH,175,455
Hydra_SSH,162,373
Hydra_SSH,195,359
Hydra_SSH,140,318
Hydra_SSH,199,202
Hydra_SSH,27,194
Hydra_SSH,221,193
Hydra_SSH,114,185
Hydra_SSH,119,87
Hydra_SSH,340,82
Hydra_SSH,54,79
Hydra_SSH,45,65
Hydra_SSH,85,62
Hydra_SSH,292,50
Hydra_SSH,201,49
Hydra_SSH,220,42
Hydra_SSH,63,37
Hydra_SSH,268,30
Hydra_SSH,11,29
Hydra_SSH,196,27
Hydra_SSH,206,27
Hydra_SSH,122,26
Hydra_SSH,258,23
Hydra_SSH,311,22
Hydra_SSH,191,21
Hydra_SSH,60,20
Hydra_SSH,41,18
Hydra_SSH,243,17
Hydra_SSH,141,16
Hydra_SSH,12,15
Hydra_SSH,120,14
Hydra_SSH,66,13
Hydra_SSH,57,9
Hydra_SSH,19,2
Hydra_SSH,160,1
Java_Meterpreter,78,10634
Java_Meterpreter,168,10414
Java_Meterpreter,265,10315
Java_Meterpreter,3,7833
Java_Meterpreter,240,5262
Java_Meterpreter,162,3206
Java_Meterpreter,142,1337
Java_Meterpreter,54,1233
Java_Meterpreter,114,984
Java_Meterpreter,146,943
Java_Meterpreter,102,805
Java_Meterpreter,43,677
Java_Meterpreter,5,643
Java_Meterpreter,140,632
Java_Meterpreter,195,540
Java_Meterpreter,104,433
Java_Meterpreter,175,373
Java_Meterpreter,192,349
Java_Meterpreter,309,337
Java_Meterpreter,125,301
Java_Meterpreter,6,290
Java_Meterpreter,174,262
Java_Meterpreter,196,259
Java_Meterpreter,33,162
Java_Meterpreter,91,162
Java_Meterpreter,197,161
Java_Meterpreter,4,150
Java_Meterpreter,158,112
Java_Meterpreter,163,94
Java_Meterpreter,119,84
Java_Meterpreter,85,62
Java_Meterpreter,13,61
Java_Meterpreter,219,52
Java_Meterpreter,120,51
Java_Meterpreter,340,51
Java_Meterpreter,45,28
Java_Meterpreter,141,28
Java_Meterpreter,122,19
Java_Meterpreter,10,18
Java_Meterpreter,220,18
Java_Meterpreter,242,16
Java_Meterpreter,311,13
Java_Meterpreter,11,8
Java_Meterpreter,39,8
Java_Meterpreter,191,8
Java_Meterpreter,243,8
Java_Meterpreter,57,7
Java_Meterpreter,201,7
Java_Meterpreter,221,7
Java_Meterpreter,258,7
Java_Meterpreter,40,6
Java_Meterpreter,117,6
Java_Meterpreter,199,6
Java_Meterpreter,268,6
Java_Meterpreter,19,3
Java_Meterpreter,224,3
Java_Meterpreter,266,3
Java_Meterpreter,37,2
Java_Meterpreter,63,2
Java_Meterpreter,7,1
Java_Meterpreter,173,1
Meterpreter,168,9608
Meterpreter,265,9413
Meterpreter,3,7435
Meterpreter,142,1413
Meterpreter,19,922
Meterpreter,146,776
Meterpreter,43,676
Meterpreter,175,649
Meterpreter,195,638
Meterpreter,78,483
Meterpreter,5,416
Meterpreter,104,342
Meterpreter,174,327
Meterpreter,192,300
Meterpreter,6,269
Meterpreter,102,225
Meterpreter,197,150
Meterpreter,91,146
Meterpreter,119,135
Meterpreter,33,127
Meterpreter,125,103
Meterpreter,340,66
Meterpreter,54,41
Meterpreter,45,40
Meterpreter,4,37
Meterpreter,240,27
Meterpreter,13,24
Meterpreter,292,19
Meterpreter,191,11
Meterpreter,11,10
Meterpreter,57,10
Meterpreter,120,10
Meterpreter,122,10
Meterpreter,243,10
Meterpreter,7,9
Meterpreter,258,9
Meterpreter,311,9
Meterpreter,196,7
Meterpreter,268,7
Meterpreter,162,5
Meterpreter,220,5
Meterpreter,85,3
Meterpreter,140,3
Meterpreter,141,3
Meterpreter,42,2
Meterpreter,219,2
Meterpreter,221,2
Meterpreter,12,1
Meterpreter,132,1
Meterpreter,307,1
Web_Shell,168,21288
Web_Shell,265,10960
Web_Shell,3,9905
Web_Shell,142,1968
Web_Shell,5,1424
Web_Shell,102,1061
Web_Shell,43,999
Web_Shell,146,896
Web_Shell,195,774
Web_Shell,78,773
Web_Shell,301,756
Web_Shell,19,681
Web_Shell,104,637
Web_Shell,4,611
Web_Shell,91,598
Web_Shell,13,574
Web_Shell,6,549
Web_Shell,54,375
Web_Shell,175,357
Web_Shell,240,338
Web_Shell,192,328
Web_Shell,33,309
Web_Shell,197,233
Web_Shell,196,190
Web_Shell,174,168
Web_Shell,7,167
Web_Shell,45,130
Web_Shell,309,124
Web_Shell,340,120
Web_Shell,220,83
Web_Shell,221,63
Web_Shell,162,51
Web_Shell,125,43
Web_Shell,140,42
Web_Shell,12,33
Web_Shell,119,33
Web_Shell,300,33
Web_Shell,60,32
Web_Shell,163,31
Web_Shell,292,31
Web_Shell,122,26
Web_Shell,183,26
Web_Shell,295,18
Web_Shell,268,15
Web_Shell,141,14
Web_Shell,120,13
Web_Shell,331,13
Web_Shell,11,5
Web_Shell,57,5
Web_Shell,243,5
Web_Shell,191,4
Web_Shell,258,4
Web_Shell,311,4
Web_Shell,10,1
Web_Shell,156,1
Web_Shell,205,1
